params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
{'classifier__var_smoothing': 1e-09},0.683499,0.043008,0.625101,0.060855,0.785385,0.097187,0.397786,0.092429,0.697693,0.047724,0.705243,0.048385,0.410486,0.096771
{'classifier__var_smoothing': 1e-08},0.683499,0.043008,0.625101,0.060855,0.785385,0.097187,0.397786,0.092429,0.697693,0.047724,0.705243,0.048385,0.410486,0.096771
{'classifier__var_smoothing': 1e-07},0.683499,0.043008,0.625101,0.060855,0.785385,0.097187,0.397786,0.092429,0.697693,0.047724,0.705243,0.048385,0.410486,0.096771
{'classifier__var_smoothing': 1e-06},0.683499,0.043008,0.625101,0.060855,0.785385,0.097187,0.397786,0.092429,0.697693,0.047724,0.705243,0.048385,0.410486,0.096771
