params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__C': 0.5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.792919,0.055331,0.760505,0.060071,0.848769,0.098042,0.590515,0.115913,0.801657,0.060077,0.804637,0.06075,0.609274,0.121499
"{'classifier__C': 0.5, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.790062,0.05212,0.758283,0.058127,0.844615,0.100792,0.584683,0.11118,0.798257,0.057478,0.801449,0.058438,0.602898,0.116877
"{'classifier__C': 0.5, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.779979,0.055146,0.735707,0.068052,0.856769,0.080796,0.573042,0.107777,0.792387,0.056512,0.796238,0.056212,0.592476,0.112424
"{'classifier__C': 0.5, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.756853,0.056047,0.694899,0.071103,0.864769,0.067792,0.540438,0.103984,0.773924,0.055817,0.779834,0.054644,0.559668,0.109288
"{'classifier__C': 0.5, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.720952,0.040241,0.631869,0.065846,0.876769,0.049166,0.494035,0.065246,0.742665,0.039385,0.754319,0.035182,0.508638,0.070364
"{'classifier__C': 0.5, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.71381,0.044314,0.616162,0.072628,0.884769,0.042011,0.488125,0.067409,0.73656,0.043027,0.750465,0.036949,0.500931,0.073899
"{'classifier__C': 0.5, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.685052,0.057742,0.550707,0.101252,0.920462,0.050727,0.470633,0.076448,0.707711,0.060794,0.735584,0.045045,0.471169,0.090089
"{'classifier__C': 0.5, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.575694,0.075487,0.34298,0.127958,0.984,0.036661,0.378469,0.086566,0.569028,0.107022,0.66349,0.057502,0.32698,0.115004
"{'classifier__C': 0.5, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.410041,0.086817,0.076313,0.142833,0.996,0.012,0.094934,0.148787,0.148358,0.229571,0.536157,0.067,0.072313,0.133999
"{'classifier__C': 0.5, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.720932,0.040874,0.629596,0.066821,0.880769,0.044126,0.495917,0.064425,0.743093,0.039725,0.755183,0.034943,0.510365,0.069886
"{'classifier__C': 0.75, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.813126,0.046286,0.821667,0.044599,0.797077,0.10863,0.608905,0.105587,0.806841,0.059285,0.809372,0.05688,0.618744,0.11376
"{'classifier__C': 0.75, 'classifier__gamma': 0.25, 'classifier__kernel': 'rbf'}",0.820207,0.044242,0.80798,0.045002,0.840769,0.096792,0.633024,0.099071,0.822414,0.052665,0.824375,0.052492,0.648749,0.104985
"{'classifier__C': 0.75, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.798654,0.054586,0.769495,0.061509,0.848769,0.098042,0.600177,0.114055,0.806272,0.059024,0.809132,0.059722,0.618264,0.119444
"{'classifier__C': 0.75, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.794348,0.055311,0.762727,0.062668,0.848769,0.098042,0.593189,0.114968,0.80269,0.059601,0.805748,0.060226,0.611497,0.120451
"{'classifier__C': 0.75, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.790041,0.052213,0.75601,0.059717,0.848615,0.096468,0.586083,0.109622,0.799077,0.056518,0.802313,0.057415,0.604625,0.114829
"{'classifier__C': 0.75, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.766957,0.053816,0.715253,0.068649,0.856769,0.080796,0.552938,0.103783,0.781101,0.054964,0.786011,0.054561,0.572022,0.109123
"{'classifier__C': 0.75, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.730973,0.041133,0.652172,0.061172,0.868769,0.051201,0.504211,0.072028,0.751459,0.039986,0.76047,0.03798,0.520941,0.075959
"{'classifier__C': 0.75, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.728116,0.035674,0.640859,0.058973,0.880769,0.044126,0.505825,0.057966,0.749987,0.034727,0.760814,0.031231,0.521628,0.062463
"{'classifier__C': 0.75, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.71381,0.044314,0.616162,0.072628,0.884769,0.042011,0.488125,0.067409,0.73656,0.043027,0.750465,0.036949,0.500931,0.073899
"{'classifier__C': 0.75, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.653333,0.059714,0.487273,0.10492,0.944154,0.051275,0.444302,0.079069,0.673016,0.068291,0.715713,0.046756,0.431427,0.093513
"{'classifier__C': 0.75, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.427371,0.07984,0.103485,0.132173,0.996,0.012,0.163509,0.121382,0.259893,0.185311,0.549742,0.061728,0.099485,0.123456
"{'classifier__C': 0.75, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.732443,0.037793,0.647677,0.060235,0.880769,0.044126,0.512048,0.062423,0.754031,0.036237,0.764223,0.033238,0.528446,0.066477
"{'classifier__C': 1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.826066,0.042394,0.835202,0.037974,0.809077,0.101423,0.634584,0.097243,0.820036,0.054934,0.822139,0.052906,0.644279,0.105812
"{'classifier__C': 1, 'classifier__gamma': 0.25, 'classifier__kernel': 'rbf'}",0.820248,0.049402,0.80798,0.050415,0.841077,0.089675,0.633002,0.105362,0.823011,0.054945,0.824528,0.055156,0.649057,0.110312
"{'classifier__C': 1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.808737,0.045796,0.785354,0.057384,0.848769,0.087706,0.616932,0.095922,0.814641,0.049392,0.817061,0.049942,0.634123,0.099884
