params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 240}",0.785859,0.053951,0.823838,0.057454,0.718154,0.108054,0.541503,0.118308,0.766427,0.066072,0.770996,0.061731,0.541992,0.123463
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 250}",0.782981,0.059078,0.826061,0.056916,0.706308,0.117562,0.533051,0.131012,0.760809,0.073888,0.766184,0.068436,0.532368,0.136872
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 260}",0.787288,0.055971,0.826061,0.056916,0.718308,0.109204,0.543987,0.122467,0.767662,0.068199,0.772184,0.063927,0.544368,0.127853
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 270}",0.781532,0.052525,0.823838,0.056548,0.706154,0.112282,0.530863,0.116833,0.759548,0.066974,0.764996,0.061417,0.529992,0.122833
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 280}",0.781532,0.04795,0.823838,0.056548,0.706154,0.10338,0.531099,0.105375,0.759768,0.060818,0.764996,0.055369,0.529992,0.110738
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 290}",0.782961,0.046979,0.826111,0.052964,0.706154,0.10338,0.533449,0.104503,0.760927,0.060692,0.766132,0.05513,0.532265,0.11026
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300}",0.781532,0.048793,0.826111,0.052964,0.702154,0.115241,0.529935,0.11084,0.758074,0.066088,0.764132,0.059284,0.528265,0.118568
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 310}",0.780083,0.048487,0.823889,0.050612,0.702154,0.115241,0.527024,0.111698,0.757155,0.066014,0.763021,0.059436,0.526043,0.118873
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 320}",0.780104,0.050905,0.821616,0.052319,0.706154,0.115097,0.52782,0.11603,0.758366,0.067709,0.763885,0.061273,0.52777,0.122547
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 330}",0.782961,0.049103,0.821616,0.052319,0.714,0.109078,0.534933,0.111264,0.762905,0.06418,0.767808,0.058422,0.535616,0.116845
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 20}",0.743954,0.045612,0.769343,0.055773,0.697692,0.131398,0.461428,0.109533,0.727586,0.065502,0.733518,0.059559,0.467036,0.119119
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 30}",0.755549,0.04291,0.792172,0.046912,0.690154,0.100062,0.478905,0.098062,0.736745,0.056388,0.741163,0.051764,0.482326,0.103527
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 40}",0.761429,0.05542,0.801465,0.055925,0.690462,0.105455,0.489745,0.124115,0.74128,0.068554,0.745963,0.063004,0.491926,0.126008
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 50}",0.759896,0.053358,0.799091,0.042383,0.690154,0.123014,0.485375,0.125801,0.73914,0.074663,0.744622,0.066601,0.489245,0.133202
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 60}",0.761304,0.043793,0.796818,0.035206,0.698,0.121037,0.490067,0.108078,0.74207,0.067207,0.747409,0.058953,0.494818,0.117906
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 70}",0.761346,0.046873,0.792273,0.041697,0.706308,0.121576,0.493007,0.111392,0.744471,0.066756,0.74929,0.060684,0.49858,0.121369
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 80}",0.768489,0.049116,0.801313,0.042898,0.710154,0.110554,0.506622,0.111641,0.751742,0.064227,0.755733,0.060069,0.511467,0.120138
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 90}",0.778592,0.055991,0.812677,0.050455,0.718154,0.106563,0.527172,0.12403,0.761846,0.067772,0.765415,0.064522,0.530831,0.129043
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 100}",0.77,0.06333,0.808131,0.0487,0.702154,0.141423,0.507053,0.146817,0.749134,0.085119,0.755143,0.078106,0.510285,0.156212
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 110}",0.771408,0.057134,0.810354,0.050904,0.702,0.129776,0.510345,0.131341,0.750444,0.076015,0.756177,0.069973,0.512354,0.139946
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 120}",0.775735,0.059546,0.817121,0.04811,0.702154,0.123291,0.517679,0.134693,0.75451,0.076437,0.759638,0.071207,0.519275,0.142415
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 130}",0.780041,0.055532,0.814848,0.050624,0.717846,0.114438,0.529693,0.124526,0.762108,0.06994,0.766347,0.065549,0.532695,0.131098
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 140}",0.784389,0.060451,0.817121,0.053208,0.725846,0.123719,0.539598,0.135401,0.767144,0.075727,0.771484,0.071448,0.542967,0.142896
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 150}",0.78294,0.060332,0.817121,0.05417,0.721846,0.116521,0.535951,0.1339,0.765428,0.073907,0.769484,0.069866,0.538967,0.139731
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 160}",0.781491,0.057318,0.817121,0.053208,0.717846,0.1172,0.532664,0.127746,0.763039,0.071552,0.767484,0.067323,0.534967,0.134645
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 170}",0.78147,0.061937,0.812576,0.056692,0.725846,0.122419,0.534477,0.137006,0.765056,0.07605,0.769211,0.072077,0.538422,0.144153
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 180}",0.785818,0.061352,0.819394,0.054641,0.725846,0.118433,0.542153,0.136138,0.76857,0.075241,0.77262,0.071108,0.54524,0.142216
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 190}",0.781511,0.063717,0.817121,0.05417,0.717846,0.134966,0.532305,0.144515,0.762163,0.082474,0.767484,0.076491,0.534967,0.152982
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 200}",0.780083,0.062464,0.814848,0.064128,0.718,0.119708,0.531045,0.136188,0.761714,0.075423,0.766424,0.070913,0.532848,0.141827
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 210}",0.784389,0.055795,0.817121,0.05417,0.726,0.116867,0.540292,0.124193,0.767257,0.069931,0.771561,0.065723,0.543121,0.131447
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 220}",0.785839,0.057765,0.821667,0.055015,0.722154,0.117279,0.54207,0.1282,0.767434,0.071618,0.77191,0.067469,0.543821,0.134939
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 230}",0.788716,0.054245,0.823939,0.051421,0.726,0.112685,0.547948,0.121583,0.770725,0.068349,0.77497,0.063951,0.549939,0.127901
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 240}",0.790166,0.05727,0.823939,0.051421,0.73,0.121301,0.551443,0.128721,0.772555,0.072808,0.77697,0.06836,0.553939,0.13672
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 250}",0.791615,0.06183,0.823939,0.060639,0.734,0.109078,0.55532,0.133522,0.77543,0.072151,0.77897,0.06897,0.557939,0.13794
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 260}",0.790166,0.059782,0.823939,0.060639,0.73,0.104278,0.55189,0.128708,0.7734,0.069321,0.77697,0.066151,0.553939,0.132303
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 270}",0.790186,0.062768,0.821667,0.059525,0.734,0.120241,0.552629,0.137638,0.773746,0.076179,0.777833,0.072051,0.555667,0.144103
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 280}",0.793023,0.057426,0.821616,0.057941,0.742,0.10775,0.55992,0.124175,0.778456,0.06769,0.781808,0.064888,0.563616,0.129775
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 290}",0.793023,0.05669,0.826162,0.060126,0.734,0.098275,0.558238,0.120766,0.776704,0.064929,0.780081,0.062127,0.560162,0.124254
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 300}",0.795921,0.057559,0.823889,0.059087,0.746,0.106104,0.566181,0.123485,0.781691,0.067342,0.784944,0.064537,0.569889,0.129074
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 310}",0.794493,0.059017,0.823889,0.059087,0.742,0.112116,0.56256,0.127859,0.77931,0.070454,0.782944,0.067055,0.565889,0.134109
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 320}",0.788716,0.059419,0.819394,0.059179,0.734,0.109078,0.550112,0.128989,0.773158,0.07004,0.776697,0.066875,0.553394,0.133749
