params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
{'classifier__var_smoothing': 1e-09},0.611758,0.031964,0.369663,0.053469,0.933476,0.033518,0.352493,0.059611,0.585471,0.043901,0.651569,0.028484,0.303139,0.056968
{'classifier__var_smoothing': 1e-08},0.617032,0.030234,0.382593,0.049415,0.928598,0.028418,0.356583,0.054368,0.594511,0.040689,0.655595,0.026921,0.31119,0.053843
{'classifier__var_smoothing': 1e-07},0.620202,0.033927,0.391852,0.04938,0.92372,0.032233,0.357947,0.065167,0.600329,0.042349,0.657786,0.031352,0.315571,0.062703
{'classifier__var_smoothing': 1e-06},0.628645,0.034085,0.41037,0.045325,0.91878,0.031465,0.367411,0.067071,0.613204,0.039293,0.664575,0.031977,0.329151,0.063955
