params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
{'classifier__var_smoothing': 1e-09},0.603282,0.048819,0.398943,0.066837,0.956308,0.051795,0.386921,0.089978,0.61536,0.059723,0.677625,0.046353,0.355251,0.092707
{'classifier__var_smoothing': 1e-08},0.609101,0.053126,0.410465,0.069598,0.952462,0.049797,0.390157,0.096798,0.623233,0.062474,0.681463,0.050161,0.362927,0.100321
{'classifier__var_smoothing': 1e-07},0.611999,0.055351,0.417283,0.071695,0.948462,0.059359,0.391374,0.103798,0.626879,0.064526,0.682872,0.053364,0.365745,0.106728
{'classifier__var_smoothing': 1e-06},0.617818,0.052171,0.431025,0.066863,0.940462,0.059957,0.393041,0.099283,0.634788,0.059691,0.685743,0.050934,0.371487,0.101869
