params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__C': 0.5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.799488,0.054403,0.736099,0.072949,0.908615,0.062033,0.624159,0.098094,0.81651,0.052997,0.822357,0.051236,0.644715,0.102473
"{'classifier__C': 0.5, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.792221,0.063431,0.720085,0.082501,0.916615,0.060385,0.616462,0.11219,0.811132,0.061783,0.81835,0.058898,0.6367,0.117797
"{'classifier__C': 0.5, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.783483,0.061244,0.703911,0.07954,0.920462,0.059441,0.604873,0.108343,0.803687,0.060122,0.812186,0.057156,0.624373,0.114313
"{'classifier__C': 0.5, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.750085,0.05265,0.642125,0.071818,0.936462,0.05121,0.564935,0.090432,0.774182,0.052,0.789293,0.048096,0.578586,0.096193
"{'classifier__C': 0.5, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.627835,0.049559,0.421617,0.082239,0.984,0.036661,0.440322,0.065767,0.640601,0.060849,0.702809,0.040336,0.405617,0.080673
"{'classifier__C': 0.5, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.568372,0.041956,0.32796,0.068554,0.984,0.036661,0.36792,0.061401,0.564418,0.059021,0.65598,0.034352,0.31196,0.068703
"{'classifier__C': 0.5, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.53052,0.046315,0.268235,0.080689,0.984,0.036661,0.320989,0.060063,0.507284,0.071906,0.626117,0.035298,0.252235,0.070595
"{'classifier__C': 0.5, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.529071,0.044016,0.265962,0.07759,0.984,0.036661,0.319306,0.057121,0.505428,0.069118,0.624981,0.033243,0.249962,0.066487
"{'classifier__C': 0.5, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.5276,0.043236,0.263636,0.07681,0.984,0.036661,0.317532,0.055756,0.503271,0.068026,0.623818,0.032502,0.247636,0.065005
"{'classifier__C': 0.5, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.783483,0.061244,0.703911,0.07954,0.920462,0.059441,0.604873,0.108343,0.803687,0.060122,0.812186,0.057156,0.624373,0.114313
"{'classifier__C': 0.75, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.818414,0.049212,0.779704,0.067286,0.884769,0.065764,0.645414,0.091675,0.829215,0.047897,0.832237,0.047218,0.664473,0.094436
"{'classifier__C': 0.75, 'classifier__gamma': 0.25, 'classifier__kernel': 'rbf'}",0.808205,0.056358,0.759038,0.073413,0.892769,0.062166,0.631651,0.103508,0.822029,0.054375,0.825904,0.053241,0.651807,0.106481
"{'classifier__C': 0.75, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.802366,0.059468,0.74519,0.081413,0.900615,0.065131,0.626168,0.106413,0.81763,0.057268,0.822903,0.055246,0.645806,0.110492
"{'classifier__C': 0.75, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.799488,0.054016,0.738372,0.072993,0.904615,0.067387,0.622763,0.098327,0.81578,0.053084,0.821494,0.05151,0.642987,0.103021
"{'classifier__C': 0.75, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.793691,0.062944,0.72241,0.080836,0.916615,0.060385,0.618484,0.111982,0.812532,0.06146,0.819513,0.058749,0.639026,0.117499
"{'classifier__C': 0.75, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.768947,0.060194,0.681025,0.079403,0.920462,0.059441,0.583789,0.105584,0.790363,0.059276,0.800743,0.055895,0.601487,0.111791
"{'classifier__C': 0.75, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.706373,0.05072,0.557082,0.080564,0.964308,0.041736,0.523696,0.073614,0.730657,0.053246,0.760695,0.042501,0.52139,0.085001
"{'classifier__C': 0.75, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.655456,0.060187,0.474366,0.093644,0.968308,0.039134,0.461737,0.086134,0.674313,0.06739,0.721337,0.050289,0.442673,0.100577
"{'classifier__C': 0.75, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.566922,0.040772,0.325634,0.067402,0.984,0.036661,0.366179,0.059923,0.562481,0.057799,0.654817,0.033501,0.309634,0.067001
"{'classifier__C': 0.75, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.529071,0.044016,0.265962,0.07759,0.984,0.036661,0.319306,0.057121,0.505428,0.069118,0.624981,0.033243,0.249962,0.066487
"{'classifier__C': 0.75, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.5276,0.043236,0.263636,0.07681,0.984,0.036661,0.317532,0.055756,0.503271,0.068026,0.623818,0.032502,0.247636,0.065005
"{'classifier__C': 0.75, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.790772,0.063468,0.717759,0.082115,0.916615,0.060385,0.614208,0.112534,0.809854,0.061897,0.817187,0.059079,0.634374,0.118159
"{'classifier__C': 1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.822805,0.054646,0.788953,0.0675,0.880769,0.069477,0.650797,0.104372,0.832488,0.054045,0.834861,0.05368,0.669723,0.10736
