params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 240}",0.847358,0.050454,0.886623,0.051964,0.794207,0.084145,0.688768,0.105865,0.837843,0.05435,0.840415,0.053213,0.680831,0.106426
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 250}",0.844244,0.049125,0.884838,0.053833,0.789268,0.081222,0.682533,0.103174,0.834367,0.05241,0.837053,0.051425,0.674106,0.102849
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 260}",0.843202,0.049235,0.884838,0.053833,0.786829,0.081813,0.68038,0.103447,0.833054,0.05257,0.835833,0.051587,0.671667,0.103173
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 270}",0.843192,0.048387,0.884805,0.048142,0.786829,0.081813,0.679638,0.1012,0.833178,0.052454,0.835817,0.051247,0.671634,0.102494
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 280}",0.844233,0.048945,0.886623,0.051964,0.786829,0.081813,0.682294,0.102963,0.833946,0.052507,0.836726,0.051475,0.673453,0.102949
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 290}",0.844233,0.048945,0.886623,0.051964,0.786829,0.081813,0.682294,0.102963,0.833946,0.052507,0.836726,0.051475,0.673453,0.102949
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300}",0.844244,0.050218,0.883052,0.052026,0.791768,0.088294,0.682726,0.105701,0.834661,0.054503,0.83741,0.053428,0.67482,0.106856
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 310}",0.844244,0.050218,0.883052,0.052026,0.791768,0.088294,0.682726,0.105701,0.834661,0.054503,0.83741,0.053428,0.67482,0.106856
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 320}",0.844244,0.050218,0.883052,0.052026,0.791768,0.088294,0.682726,0.105701,0.834661,0.054503,0.83741,0.053428,0.67482,0.106856
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 330}",0.844244,0.049125,0.883052,0.052026,0.791768,0.084154,0.682579,0.103239,0.834783,0.053022,0.83741,0.051945,0.67482,0.103889
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 20}",0.808892,0.03869,0.839643,0.048065,0.767134,0.093585,0.611495,0.078506,0.800018,0.048431,0.803389,0.043533,0.606777,0.087066
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 30}",0.828619,0.030679,0.861331,0.041789,0.784451,0.070229,0.650885,0.063198,0.820565,0.035478,0.822891,0.033555,0.645782,0.06711
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 40}",0.833806,0.038977,0.861299,0.037771,0.796707,0.08021,0.661291,0.081184,0.827047,0.044372,0.829003,0.04303,0.658006,0.08606
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 50}",0.834858,0.041264,0.868571,0.044753,0.789329,0.079735,0.663381,0.08649,0.82663,0.045468,0.82895,0.044587,0.657901,0.089174
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 60}",0.835921,0.04359,0.877597,0.041442,0.779512,0.081947,0.664493,0.091386,0.825825,0.048718,0.828555,0.047319,0.65711,0.094639
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 70}",0.833849,0.042364,0.870422,0.042788,0.78439,0.0833,0.660905,0.089682,0.824868,0.047255,0.827406,0.046235,0.654812,0.092469
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 80}",0.835921,0.041573,0.868701,0.046379,0.791768,0.085141,0.666139,0.08764,0.827701,0.046428,0.830235,0.045465,0.66047,0.090931
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 90}",0.82864,0.047094,0.863182,0.039927,0.782012,0.087926,0.649698,0.098085,0.820265,0.052942,0.822597,0.051383,0.645194,0.102767
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 100}",0.831776,0.043288,0.866883,0.043554,0.78439,0.07965,0.656446,0.090254,0.823358,0.047794,0.825637,0.046629,0.651273,0.093259
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 110}",0.83386,0.046173,0.870487,0.051442,0.784329,0.073438,0.660793,0.095807,0.825208,0.048718,0.827408,0.048026,0.654816,0.096052
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 120}",0.83489,0.0437,0.874058,0.045634,0.78189,0.069789,0.662109,0.090509,0.825802,0.046689,0.827974,0.045754,0.655949,0.091508
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 130}",0.835943,0.041763,0.872273,0.043777,0.786768,0.06952,0.664448,0.086832,0.827497,0.045003,0.829521,0.044018,0.659041,0.088036
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 140}",0.838026,0.04553,0.874058,0.049051,0.789207,0.0722,0.669007,0.094441,0.829561,0.048339,0.831633,0.047458,0.663266,0.094917
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 150}",0.844265,0.046399,0.883117,0.053006,0.791646,0.066265,0.681909,0.096791,0.835306,0.04775,0.837382,0.047434,0.674763,0.094868
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 160}",0.842193,0.049022,0.877695,0.053876,0.794146,0.072256,0.677804,0.101261,0.833932,0.051151,0.835921,0.050511,0.671841,0.101022
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 170}",0.841151,0.048644,0.877695,0.053876,0.791707,0.072264,0.675671,0.100526,0.832626,0.050751,0.834701,0.050134,0.669402,0.100267
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 180}",0.84011,0.048466,0.877695,0.053876,0.789268,0.075414,0.673693,0.100029,0.83119,0.051132,0.833482,0.050248,0.666963,0.100496
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 190}",0.84011,0.048466,0.877695,0.053876,0.789268,0.075414,0.673693,0.100029,0.83119,0.051132,0.833482,0.050248,0.666963,0.100496
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 200}",0.841162,0.046342,0.875909,0.056051,0.794207,0.072772,0.676597,0.095825,0.832849,0.048322,0.835058,0.047632,0.670116,0.095264
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 210}",0.839089,0.047274,0.874091,0.055234,0.791768,0.074399,0.672188,0.097998,0.830722,0.049502,0.83293,0.048808,0.665859,0.097617
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 220}",0.839079,0.047795,0.874058,0.04972,0.791707,0.077814,0.671428,0.099132,0.830753,0.051255,0.832883,0.050215,0.665766,0.100429
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 230}",0.834923,0.049166,0.872273,0.056725,0.78439,0.074238,0.663403,0.102201,0.826037,0.051146,0.828331,0.05057,0.656663,0.101141
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 240}",0.839079,0.053127,0.875877,0.057281,0.789268,0.082928,0.671976,0.110419,0.830169,0.056119,0.832572,0.055259,0.665145,0.110519
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 250}",0.840131,0.051429,0.875909,0.057793,0.791707,0.080074,0.674357,0.106881,0.831476,0.053964,0.833808,0.05328,0.667616,0.106559
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 260}",0.840131,0.051429,0.875909,0.057793,0.791707,0.080074,0.674357,0.106881,0.831476,0.053964,0.833808,0.05328,0.667616,0.106559
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 270}",0.839089,0.051027,0.875909,0.057793,0.789268,0.080007,0.672224,0.106115,0.83017,0.053525,0.832589,0.052873,0.665177,0.105747
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 280}",0.838048,0.050814,0.874091,0.054632,0.789268,0.080007,0.669612,0.105321,0.829409,0.053735,0.83168,0.052947,0.663359,0.105895
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 290}",0.839089,0.051027,0.877727,0.05908,0.786829,0.080607,0.67237,0.106156,0.829669,0.053432,0.832278,0.05281,0.664557,0.10562
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 300}",0.836995,0.049948,0.874091,0.051586,0.786829,0.080607,0.667098,0.103408,0.828153,0.053339,0.83046,0.052449,0.66092,0.104897
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 310}",0.84011,0.049959,0.877695,0.052679,0.789268,0.080007,0.673609,0.103407,0.831136,0.05323,0.833482,0.052309,0.666963,0.104617
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 320}",0.836985,0.052086,0.875877,0.056156,0.78439,0.0833,0.667601,0.108369,0.827556,0.055246,0.830133,0.054394,0.660267,0.108788
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 330}",0.839036,0.053409,0.87763,0.052232,0.786829,0.08631,0.671193,0.110739,0.829759,0.057426,0.83223,0.056311,0.664459,0.112622
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 20}",0.8141,0.036512,0.845195,0.055915,0.772256,0.089962,0.623707,0.07842,0.805364,0.041718,0.808725,0.040341,0.617451,0.080682
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 30}",0.820404,0.038682,0.850682,0.048943,0.779756,0.075822,0.634545,0.079997,0.812923,0.042292,0.815219,0.041108,0.630438,0.082216
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 40}",0.827652,0.035891,0.859708,0.045409,0.784451,0.0704,0.648868,0.075102,0.819934,0.039038,0.82208,0.038244,0.644159,0.076488
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 50}",0.84012,0.040162,0.875877,0.048797,0.791951,0.073958,0.674407,0.083399,0.83153,0.043358,0.833914,0.042403,0.667828,0.084807
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 60}",0.834912,0.039483,0.868604,0.045931,0.789451,0.073863,0.663485,0.082029,0.826813,0.042877,0.829028,0.041951,0.658055,0.083902
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 70}",0.83489,0.041185,0.870455,0.042681,0.787012,0.082334,0.663277,0.085888,0.826226,0.046343,0.828733,0.044936,0.657467,0.089872
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 80}",0.835911,0.044159,0.872208,0.043311,0.787012,0.087924,0.665322,0.092002,0.826903,0.050285,0.82961,0.048277,0.65922,0.096555
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 90}",0.836963,0.039775,0.874026,0.04065,0.787012,0.080876,0.667271,0.083046,0.827966,0.045248,0.830519,0.043606,0.661038,0.087211
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 100}",0.836931,0.042217,0.875779,0.043448,0.784512,0.085195,0.667358,0.087759,0.827319,0.047957,0.830146,0.046205,0.660291,0.09241
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 110}",0.841119,0.050698,0.884805,0.046011,0.782073,0.089695,0.675183,0.104844,0.830451,0.05647,0.833439,0.054482,0.666878,0.108963
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 120}",0.840088,0.046994,0.879448,0.045801,0.786951,0.081836,0.673223,0.097404,0.830693,0.051637,0.8332,0.050158,0.666399,0.100315
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 130}",0.840099,0.049393,0.881234,0.046629,0.784512,0.085195,0.673128,0.102481,0.830204,0.054264,0.832873,0.052732,0.665746,0.105464
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 140}",0.839057,0.050501,0.879416,0.047275,0.784512,0.08658,0.670969,0.105069,0.829321,0.055495,0.831964,0.053882,0.663928,0.107765
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 150}",0.84114,0.051711,0.884805,0.048704,0.782073,0.082797,0.674854,0.107314,0.830767,0.056076,0.833439,0.054539,0.666878,0.109079
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 160}",0.842171,0.052329,0.883019,0.047376,0.787012,0.087521,0.677182,0.108552,0.832419,0.05735,0.835016,0.055747,0.670032,0.111494
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 170}",0.839068,0.052383,0.881201,0.046685,0.782134,0.087068,0.670611,0.108821,0.829022,0.057349,0.831668,0.055808,0.663335,0.111616
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 180}",0.84114,0.049349,0.884838,0.05067,0.782073,0.084222,0.675627,0.102764,0.830506,0.053845,0.833455,0.052257,0.666911,0.104515
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 190}",0.844255,0.049098,0.886656,0.051178,0.786951,0.08256,0.68213,0.102145,0.83402,0.053087,0.836804,0.051821,0.673607,0.103642
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 200}",0.847369,0.051461,0.888474,0.050321,0.791829,0.088318,0.688549,0.107091,0.837378,0.056149,0.840152,0.054776,0.680303,0.109551
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 210}",0.845275,0.050322,0.888442,0.049787,0.786951,0.086775,0.684165,0.10474,0.834788,0.054965,0.837696,0.053558,0.675393,0.107117
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 220}",0.844233,0.049583,0.884805,0.047426,0.789329,0.081213,0.681436,0.102988,0.834621,0.053719,0.837067,0.05243,0.674134,0.104859
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 230}",0.840077,0.047879,0.884838,0.048793,0.779634,0.083879,0.673472,0.09979,0.829213,0.052431,0.832236,0.051,0.664472,0.102
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 240}",0.84215,0.052742,0.883019,0.050043,0.786951,0.086775,0.677389,0.109337,0.832376,0.057142,0.834985,0.055851,0.669971,0.111702
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 250}",0.843192,0.050985,0.881234,0.048026,0.791829,0.084883,0.679549,0.105873,0.834164,0.055393,0.836532,0.054161,0.673063,0.108321
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 260}",0.841119,0.048061,0.881234,0.048026,0.78689,0.078086,0.675141,0.099766,0.831669,0.051779,0.834062,0.050609,0.668124,0.101218
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 270}",0.841108,0.049185,0.879416,0.047275,0.789329,0.081213,0.675159,0.102152,0.832056,0.053288,0.834372,0.052076,0.668745,0.104153
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 280}",0.844233,0.051304,0.884838,0.053171,0.789329,0.081213,0.682007,0.106712,0.834553,0.054689,0.837083,0.05363,0.674167,0.107261
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 290}",0.840077,0.047879,0.883052,0.051341,0.782012,0.081314,0.673655,0.099674,0.829669,0.05176,0.832532,0.050475,0.665064,0.10095
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 300}",0.841119,0.048286,0.881234,0.050705,0.78689,0.078086,0.675532,0.100658,0.831598,0.051641,0.834062,0.050605,0.668124,0.101211
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 310}",0.84215,0.050212,0.884838,0.055624,0.784451,0.078627,0.678103,0.105149,0.831925,0.052947,0.834644,0.052101,0.669289,0.104201
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 320}",0.843192,0.050126,0.886656,0.056088,0.784451,0.084463,0.680738,0.104918,0.83249,0.053688,0.835554,0.052557,0.671107,0.105114
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 330}",0.842139,0.048925,0.886623,0.052618,0.782012,0.085591,0.678299,0.102588,0.831172,0.05319,0.834318,0.051832,0.668636,0.103664
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 20}",0.809955,0.041583,0.845162,0.053921,0.762378,0.071268,0.612729,0.08569,0.801301,0.043962,0.80377,0.042871,0.60754,0.085741
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 30}",0.839057,0.03891,0.875844,0.047548,0.78939,0.072452,0.671955,0.081396,0.830205,0.04209,0.832617,0.041139,0.665234,0.082278
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 40}",0.833881,0.051848,0.870552,0.064741,0.784512,0.082819,0.662622,0.108045,0.824725,0.054,0.827532,0.05317,0.655064,0.106341
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.832829,0.054639,0.868636,0.055908,0.784512,0.084493,0.658741,0.113278,0.824285,0.058047,0.826574,0.056975,0.653149,0.113951
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 60}",0.838026,0.057309,0.874091,0.059733,0.789268,0.083643,0.669431,0.119221,0.82946,0.060169,0.83168,0.059218,0.663359,0.118436
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 70}",0.836985,0.058415,0.874058,0.054675,0.78689,0.091034,0.666852,0.121351,0.828113,0.062659,0.830474,0.06143,0.660949,0.122859
